long_name,age,nationality,club,overall
Gonzalo Plata,18,Ecuador,Sporting CP,70
Mattias Svanberg,20,Sweden,Bologna,70
Robert Gumny,21,Poland,Lech Poznań,70
Rúben Gonçalo Silva Nascimento Vinagre,20,Portugal,Wolverhampton Wanderers,70
Enrico Brignola,19,Italy,Sassuolo,70
Aymen Barkok,21,Germany,Fortuna Düsseldorf,70
Aurélien Tchouaméni,19,France,FC Girondins de Bordeaux,70
Francis Amuzu,19,Belgium,RSC Anderlecht,70
Ikoma Loïs Openda,19,Belgium,Club Brugge KV,70
Miguel Mariz Luís,20,Portugal,Sporting CP,70
Romário Manuel Silva Baró,19,Portugal,FC Porto,70
Kieran Dowell,21,England,Derby County,70
Diogo Meireles Costa,19,Portugal,FC Porto,70
安部 裕葵,20,Japan,FC Barcelona,70
Ludovit Reis,19,Netherlands,FC Barcelona,70
Rogério Oliveira da Silva,21,Brazil,Sassuolo,70
Linton Maina,20,Germany,Hannover 96,70
Jaka Bijol,20,Slovenia,PFC CSKA Moscow,70
Silas Wamangituka,19,DR Congo,VfB Stuttgart,70
Tyler Roberts,20,Wales,Leeds United,70
Blas Riveros,21,Paraguay,FC Basel 1893,70
Dennis Geiger,21,Germany,TSG 1899 Hoffenheim,70
Marco Varnier,21,Italy,Atalanta,70
Reggie Cannon,21,United States,FC Dallas,70
Arnór Sigurðsson,20,Iceland,PFC CSKA Moscow,70
Kwang Song Han,20,Korea DPR,Cagliari,70
Konstantinos Mavropanos,21,Greece,Arsenal,70
Kristijan Bistrović,21,Croatia,PFC CSKA Moscow,70
Adrian Fein,20,Germany,Hamburger SV,70
Luís Manuel Arantes Maximiano,20,Portugal,Sporting CP,70
Vitaliy Mykolenko,20,Ukraine,Dynamo Kyiv,70
Erick Germain Aguirre Tafolla,22,Mexico,Pachuca,70
Rodrigo Tarín Higón,22,Spain,CD Leganés,70
Rey Manaj,22,Albania,Albacete BP,70
Mitchell van Bergen,19,Netherlands,SC Heerenveen,70
Claudio Nicolás Bravo,22,Argentina,Club Atlético Banfield,70
Kevin Mac Allister,21,Argentina,Boca Juniors,70
Alexandr Maksimenko,21,Russia,Spartak Moscow,70
Markus Schubert,21,Germany,FC Schalke 04,70
Antoine Bernede,20,France,FC Red Bull Salzburg,70
Peru Nolaskoain Esnal,20,Spain,Deportivo de La Coruña,70
Tomás Belmonte,21,Argentina,Club Atlético Lanús,70
Keaton Parks,21,United States,New York City FC,70
Jorman Campuzano,23,Colombia,Boca Juniors,70
Sebastiaan Bornauw,20,Belgium,1. FC Köln,70
Jean Lucas de Souza Oliveira,21,Brazil,Olympique Lyonnais,70
Rico Henry,21,England,Brentford,70
Dominic Solanke,21,England,Bournemouth,70
Andrea Cistana,22,Italy,Brescia,70
Ezri Konsa,21,England,Aston Villa,70
Francisco José Villalba Rodrigo,21,Spain,Birmingham City,70
Jean-Victor Makengo,21,France,Toulouse Football Club,70
Ronaël Pierre-Gabriel,21,France,1. FSV Mainz 05,70
Bakery Jatta,21,Gambia,Hamburger SV,70
László Bénes,21,Slovakia,Borussia Mönchengladbach,70
Mamadou Fofana,21,Mali,FC Metz,70
Ivan Zlobin,22,Russia,SL Benfica,70
Arnaud Nordin,21,France,AS Saint-Étienne,70
Habib Maïga,23,Ivory Coast,FC Metz,70
Orji Okwonkwo,21,Nigeria,Montreal Impact,70
Vasyl Kravets,21,Ukraine,CD Leganés,70
Marco Friedl,21,Austria,SV Werder Bremen,70
Cristian Nahuel Barrios,21,Argentina,San Lorenzo de Almagro,70
Gabriel Darío Carrasco,22,Argentina,Club Atlético Lanús,70
Jordi Mboula Queralt,20,Spain,KSV Cercle Brugge,70
Yıldırım Mert Çetin,22,Turkey,Roma,70
Giangiacomo Magnani,23,Italy,Brescia,70
Alejandro López Moreno,22,Spain,CD Lugo,70
Güven Yalçın,20,Turkey,Beşiktaş JK,70
Lazar Randjelovic,21,Serbia,Olympiacos CFP,70
Walter Gael Sandoval Contreras,23,Mexico,Guadalajara,70
Juan Eduardo Fuentes Jiménez,24,Chile,Estudiantes de La Plata,70
Pablo Ignacio Galdames Millán,22,Chile,Vélez Sarsfield,70
Olivier Kemen,22,France,Chamois Niortais Football Club,70
Franck Honorat,22,France,AS Saint-Étienne,70
Jack Stacey,23,England,Bournemouth,70
Wilfrid Kaptoum,22,Cameroon,Real Betis,70
Geovanni Banguera,23,Colombia,Atlético Huila,70
Mykola Matviyenko,23,Ukraine,Shakhtar Donetsk,70
Joe Worrall,22,England,Nottingham Forest,70
Jake Clarke-Salter,21,England,Birmingham City,70
Dániel Sallói,22,Hungary,Sporting Kansas City,70
Carlos Acevedo López,23,Mexico,Santos Laguna,70
Salih Özcan,21,Germany,1. FC Köln,70
Fabio Depaoli,22,Italy,Sampdoria,70
Ayaz Guliev,23,Russia,Spartak Moscow,70
Elisha Owusu,21,France,KAA Gent,70
Sergio Córdova,21,Venezuela,FC Augsburg,70
Nikolas Špalek,22,Slovakia,Brescia,70
Alexandru Cicâldău,21,Romania,Universitatea Craiova,70
Enock Mwepu,21,Zambia,FC Red Bull Salzburg,70
Nehuén Pérez,19,Argentina,Famalicão,70
Toni Borevković,22,Croatia,Rio Ave FC,70
Igor Zlatanović,21,Serbia,CD Numancia,70
Isaiah Brown,22,England,Luton Town,70
Glen Kamara,23,Finland,Rangers FC,70
Paddy McNair,24,Northern Ireland,Middlesbrough,70
Gabriele Moncini,23,Italy,SPAL,70
Rúnar Alex Rúnarsson,24,Iceland,Dijon FCO,70
Joe Williams,22,England,Wigan Athletic,70
Maximilian Wittek,23,Germany,SpVgg Greuther Fürth,70
Vanja Milinković-Savić,22,Serbia,Standard de Liège,70
Kasey Palmer,22,England,Bristol City,70
Mikkel Duelund,22,Denmark,Dynamo Kyiv,70
Matty Cash,21,England,Nottingham Forest,70
Augusto Martín Batalla Barga,23,Argentina,Unión La Calera,70
Joel Andersson,22,Sweden,FC Midtjylland,70
Brian Mansilla,22,Argentina,Vitória de Setúbal,70
Tino Kadewere,23,Zimbabwe,Le Havre AC,70
Joan Sastre Vanrell,22,Spain,RCD Mallorca,70
Elias Cobbaut,21,Belgium,RSC Anderlecht,70
Damián Batallini,23,Argentina,Argentinos Juniors,70
Juan Andrada,24,Argentina,Godoy Cruz,70
Rifat Zhemaletdinov,22,Russia,Lokomotiv Moscow,70
Noah Joel Sarenren Bazee,22,Nigeria,FC Augsburg,70
Philippe Sandler,22,Netherlands,RSC Anderlecht,70
Bernardo Oliveira Dias,22,Portugal,Os Belenenses,70
Wout Faes,21,Belgium,KV Oostende,70
Jorge Ruiz Ojeda,23,Spain,Deportivo de La Coruña,70
Tomás Guidara,23,Argentina,Vélez Sarsfield,70
Jeremy Ebobisse,22,United States,Portland Timbers,70
Jackson Yueill,22,United States,San Jose Earthquakes,70
Claudio Spinelli,22,Argentina,Gimnasia y Esgrima La Plata,70
Roberto Olabe Del Arco,23,Spain,Albacete BP,70
Kouadio-Yves Dabila,22,Ivory Coast,KSV Cercle Brugge,70
Filip Manojlović,23,Serbia,Getafe CF,70
Gabriel Airton de Souza,23,Brazil,Rio Ave FC,70
Nikola Maraš,23,Serbia,UD Almería,70
Vagner José Dias Goncalves,23,Cape Verde,AS Nancy Lorraine,70
Amer Gojak,22,Bosnia Herzegovina,Dinamo Zagreb,70
Boulaye Dia,22,France,Stade de Reims,70
Christian Oliva,23,Uruguay,Cagliari,70
Asier Villalibre Molina,21,Spain,Athletic Club de Bilbao,70
Joel Castro Pereira,23,Portugal,Heart of Midlothian,70
Tomás Martínez,24,Argentina,Houston Dynamo,70
Cristian Andrés Higuita Beltrán,25,Colombia,Orlando City SC,70
Marcos Bolados Hidalgo,23,Chile,Colo-Colo,70
Axel Werner,23,Argentina,Atlético de San Luis,70
Liam Henderson,23,Scotland,Hellas Verona,70
Iván Rodríguez del Pozo,23,Spain,Málaga CF,70
Rolando Aarons,23,England,Newcastle United,70
Marek Rodák,22,Slovakia,Fulham,70
Kevin Diks,22,Netherlands,Empoli,70
Connor Roberts,23,Wales,Swansea City,70
Ignacio Jeraldino,23,Chile,Audax Italiano,70
Felix Platte,23,Germany,SV Darmstadt 98,70
Nicolás Tripichio,23,Argentina,Defensa y Justicia,70
Kévin N'Doram,23,France,FC Metz,70
Lukas Klünter,23,Germany,Hertha BSC,70
Florian Kamberi,24,Switzerland,Hibernian,70
Michael Verrips,22,Netherlands,Sheffield United,70
Romain Del Castillo,23,France,Stade Rennais FC,70
Alessio Castro-Montes,22,Belgium,KAA Gent,70
Samuele Campo,23,Switzerland,FC Basel 1893,70
Carlos Alberto Rodríguez Gómez,22,Mexico,Monterrey,70
Pablo Cuadra,24,Argentina,Unión de Santa Fe,70
Albert Guðmundsson,22,Iceland,AZ Alkmaar,70
Andoni Gorosabel Espinosa,22,Spain,Real Sociedad,70
Mohamed Dräger,23,Tunisia,SC Paderborn 07,70
James Igbekeme,23,Nigeria,Real Zaragoza,70
Christos Donis,24,Greece,Panathinaikos FC,70
Awer Mabil,23,Australia,FC Midtjylland,70
Alex Mowatt,24,England,Barnsley,70
Marcus Ingvartsen,23,Denmark,1. FC Union Berlin,70
Tomás Martins Podstawski,24,Portugal,Pogoń Szczecin,70
Michał Helik,23,Poland,Cracovia,70
Clifford Aboagye,24,Ghana,Querétaro,70
Bubacarr Sanneh,24,Gambia,Göztepe SK,70
Mihai Bălașa,24,Romania,Universitatea Craiova,70
Rodrigo Eduardo Echeverría Sáez,24,Chile,Universidad de Chile,70
Reece Burke,22,England,Hull City,70
Donis Avdijaj,22,Kosovo,Trabzonspor,70
Morten Thorsby,23,Norway,Sampdoria,70
Oğulcan Çağlayan,23,Turkey,Çaykur Rizespor,70
Sergi Canós Tenés,22,Spain,Brentford,70
Arnaud Lusamba,22,France,OGC Nice,70
Sam Cosgrove,22,England,Aberdeen,70
Zinédine Machach,23,France,Napoli,70
Oscar Linnér,22,Sweden,AIK,70
Jaime Báez,24,Uruguay,Cosenza,70
Esteban Rolón,24,Argentina,Málaga CF,70
Brayan Garnica,23,Mexico,Santos Laguna,70
José Manuel Arnáiz Díaz,24,Spain,CD Leganés,70
Hárold Santiago  Mosquera Caicedo,24,Colombia,FC Dallas,70
Robin Bormuth,23,Germany,Fortuna Düsseldorf,70
Luis Jesús Pérez Maqueda,24,Spain,CD Tenerife,70
Sergio Peña,23,Peru,FC Emmen,70
Dimitris Giannoulis,23,Greece,PAOK,70
Fousseni Diabaté,23,Mali,Leicester City,70
Kristoffer Zachariassen,24,Norway,Sarpsborg 08 FF,70
Dylan Batubinsika,23,France,Royal Antwerp FC,70
Elvir Koljić,23,Bosnia Herzegovina,Universitatea Craiova,70
安西 幸輝,24,Japan,Portimonense SC,70
Alejandro Catena Marugán,24,Spain,Rayo Vallecano,70
Abdulkadir Parmak,24,Turkey,Trabzonspor,70
Florin Durmishaj,22,Greece,Olympiacos CFP,70
Jack Robinson,25,England,Nottingham Forest,70
Sean McDermott,26,Republic of Ireland,Kristiansund BK,70
Bernardo Víctor Cruz Torres,25,Spain,Granada CF,70
Koray Günter,24,Germany,Hellas Verona,70
Adrián Ortolá Vañó,25,Spain,CD Tenerife,70
Jeremy Dudziak,23,Germany,Hamburger SV,70
Andreas Linde,25,Sweden,Molde FK,70
Sergi Samper Montañá,24,Spain,Vissel Kobe,70
Marius Müller,25,Germany,FC Luzern,70
Brandon O'Neill,25,Australia,Sydney FC,70
Jakob Busk,25,Denmark,1. FC Union Berlin,70
Luka Đorđević,24,Montenegro,Lokomotiv Moscow,70
Luis Manuel García Palomera,26,Mexico,Deportivo Toluca,70
Pol García Tena,24,Spain,Sint-Truidense VV,70
Marc-Aurèle Caillard,25,France,En Avant de Guingamp,70
Borja López Menéndez,25,Spain,Real Sporting de Gijón,70
Mauro Caballero,24,Paraguay,Unión Española,70
Hosam Aiesh,24,Sweden,IFK Göteborg,70
Eduard Sobol,24,Ukraine,Club Brugge KV,70
Diego Nicolás Rojas Orellana,24,Chile,Unión La Calera,70
Jessy Pi,25,France,Stade Malherbe Caen,70
Aleksandar Boljević,23,Montenegro,Standard de Liège,70
Unai García Lugea,26,Spain,CA Osasuna,70
Andrew Hjulsager,24,Denmark,KV Oostende,70
Alexis Zapata Álvarez,24,Colombia,Envigado FC,70
Birger Solberg Meling,24,Norway,Rosenborg BK,70
Dimitri Cavaré,24,France,Barnsley,70
Uroš Đurđević,25,Serbia,Real Sporting de Gijón,70
이창민 李昌珉,25,Korea Republic,Jeju United FC,70
Jay Fulton,25,Scotland,Swansea City,70
Dorin Rotariu,23,Romania,Romania,70
Emre Taşdemir,23,Turkey,Galatasaray SK,70
Yann Bodiger,24,France,Cádiz CF,70
Alessandro Micai,25,Italy,US Salernitana 1919,70
Ivan Provedel,25,Italy,Empoli,70
Nicolas Haas,23,Switzerland,Frosinone,70
Théo Valls,23,France,Nîmes Olympique,70
Miguel Araujo,24,Peru,Peru,70
Freddy Salazar,24,Colombia,Patriotas Boyacá FC,70
정승현 郑承铉,25,Korea Republic,Kashima Antlers,70
Jorge Marcos Pombo Escobar,25,Spain,Real Zaragoza,70
Gaëtan Hendrickx,24,Belgium,Sporting de Charleroi,70
Dmitriy Zhivoglyadov,25,Russia,Lokomotiv Moscow,70
Mauro Rodolfo Pittón,24,Argentina,San Lorenzo de Almagro,70
Mauricio Lemos Merladet,23,Uruguay,UD Las Palmas,70
Francisco Augusto Neto Ramos,24,Portugal,Santa Clara,70
Rafael Jiménez Jarque,25,Spain,Cádiz CF,70
Cristian Dell'Orco,25,Italy,Lecce,70
Patrick Erras,24,Germany,1. FC Nürnberg,70
Javier Galán Gil,24,Spain,SD Huesca,70
Ronald Alberto Matarrita Ulate,24,Costa Rica,New York City FC,70
Dimitris Chatziisaias,26,Greece,Çaykur Rizespor,70
Przemysław Szymiński,25,Poland,Frosinone,70
Alfonso Herrero Peinador,25,Spain,Real Oviedo,70
Andrea Beghetto,24,Italy,Frosinone,70
Rafael Jesús Navarro Mazuelos,25,Spain,Deportivo Alavés,70
Reinildo Isnard Mandava,25,Mozambique,LOSC Lille,70
Nicolás Ibáñez,24,Argentina,Atlético de San Luis,70
Jack Elliott,23,England,Philadelphia Union,70
Lucas Possignolo,25,Brazil,Portimonense SC,70
Maximilian Ullmann,23,Austria,SK Rapid Wien,70
Emre Kılınç,24,Turkey,Sivasspor,70
Yusupha Njie,25,Gambia,Boavista FC,70
Junior Leonardo Moreno Borrero,25,Venezuela,DC United,70
Eduard Bello,23,Venezuela,CD Antofagasta,70
Denis Omar Pineda Torres,23,El Salvador,Santa Clara,70
Alexandru Păun,24,Romania,CFR Cluj,70
Dino Perić,24,Croatia,Dinamo Zagreb,70
Santiago Herreyra,26,Ecuador,Ecuador,70
Damian Dąbrowski,26,Poland,Cracovia,70
Adam Davies,26,Wales,Stoke City,70
Stelios Kitsiou,25,Greece,MKE Ankaragücü,70
Ademilson Braga Bispo Júnior,25,Brazil,Gamba Osaka,70
Radosław Murawski,25,Poland,Denizlispor,70
Barrie McKay,24,Scotland,Swansea City,70
Carlos Vinícius Santos de Jesús,25,Brazil,Vitória de Setúbal,70
Per Kristian Worre Bråtveit,23,Norway,Djurgårdens IF,70
Jhon Cley Jesus Silva Coelho,25,Brazil,Clube Sport Marítimo,70
Nicolas Gavory,24,France,Standard de Liège,70
Robert Andrich,24,Germany,1. FC Union Berlin,70
Issiaga Sylla,25,Guinea,Toulouse Football Club,70
Jonas Meffert,24,Germany,Holstein Kiel,70
Roberto Insigne,25,Italy,Benevento,70
Michele Cavion,24,Italy,Ascoli,70
Samuel Asamoah,25,Ghana,Sint-Truidense VV,70
Sander Coopman,24,Belgium,Royal Antwerp FC,70
Darnell Fisher,25,England,Preston North End,70
César Nicolás Fuentes González,26,Chile,Universidad Católica,70
Saidy Janko,23,Switzerland,BSC Young Boys,70
Núrio Domingos Matias Fortuna,24,Angola,Sporting de Charleroi,70
Alexei Koșelev,25,Moldova,Fortuna Sittard,70
Leart Paqarada,24,Kosovo,SV Sandhausen,70
Robert Bauer,24,Germany,SV Werder Bremen,70
Marnon Busch,24,Germany,1. FC Heidenheim 1846,70
Sigurd Rosted,24,Norway,KAA Gent,70
Keegan Rosenberry,25,United States,Colorado Rapids,70
Borja Lasso De La Vega,25,Spain,CD Tenerife,70
金子 翔太,24,Japan,Shimizu S-Pulse,70
Ethan Pinnock,26,England,Brentford,70
Philipp Wiesinger,25,Austria,LASK Linz,70
Kai Wagner,22,Germany,Philadelphia Union,70
Georgios Giakoumakis,24,Greece,AEK Athens,70
Dumisani Zuma,24,South Africa,Kaizer Chiefs,70
Cheick Omar Traoré,24,France,En Avant de Guingamp,70
Jamilu Collins,24,Nigeria,SC Paderborn 07,70
František Plach,27,Slovakia,Piast Gliwice,70
Zvonimir Kožulj,25,Bosnia Herzegovina,Pogoń Szczecin,70
Tomáš Chorý,24,Czech Republic,Viktoria Plzeň,70
Håvard Kallevik Nielsen,25,Norway,SpVgg Greuther Fürth,70
Jed Steer,26,England,Aston Villa,70
Dario Dumić,27,Bosnia Herzegovina,SV Darmstadt 98,70
Eduardo Ramos Gómez,27,Spain,Cádiz CF,70
Abdoulaye Diallo,27,Senegal,Gençlerbirliği SK,70
Zacharie Boucher,27,France,AJ Auxerre,70
Nicola Leali,26,Italy,Perugia,70
Daniel Johnson,26,Jamaica,Preston North End,70
Emil Bergström,26,Sweden,FC Utrecht,70
Ergys Kaçe,25,Albania,PAOK,70
Zinho Gano,25,Belgium,KRC Genk,70
Aleksandar Trajkovski,26,FYR Macedonia,RCD Mallorca,70
Rob Schoofs,25,Belgium,KV Mechelen,70
Álvaro Lemos Collazo,26,Spain,UD Las Palmas,70
Eddy Silvestre Pascual Israfilov,26,Azerbaijan,Albacete BP,70
Maksym Koval,26,Ukraine,Al Fateh,70
Marcus Maddison,25,England,Peterborough United,70
Leke James,26,Nigeria,Molde FK,70
Martin  Bjørnbak,27,Norway,Molde FK,70
Steeve Yago,26,Burkina Faso,Toulouse Football Club,70
Fabian Schnellhardt,25,Germany,SV Darmstadt 98,70
Aitor García Flores,25,Spain,Real Sporting de Gijón,70
Davide Adorni,26,Italy,Cittadella,70
Lukas  Spendlhofer,26,Austria,SK Sturm Graz,70
Julian Jeanvier,26,Guinea,Brentford,70
Leonardo Capezzi,24,Italy,Sampdoria,70
Lucas Eduardo Dos Santos João,25,Portugal,Reading,70
Abdullah Ateef,26,Saudi Arabia,Al Hilal,70
Arnór Ingvi Traustason,26,Iceland,Malmö FF,70
Luca Garritano,25,Italy,Chievo Verona,70
Carlos Ascues,27,Peru,Orlando City SC,70
Abdulfatah Aseri,25,Saudi Arabia,Al Ahli,70
Rubén Leonardo Pico Carvajal,27,Colombia,Junior FC,70
Valber Roberto Huerta Jeréz,25,Chile,Universidad Católica,70
Gastón Álvarez Suarez,26,Argentina,Arsenal de Sarandí,70
José Manuel García Naranjo,24,Spain,CD Tenerife,70
Florian Ballas,26,Germany,SG Dynamo Dresden,70
Carlos Akapo Martínez,26,Equatorial Guinea,Cádiz CF,70
Josh Windass,25,England,Wigan Athletic,70
Dávid Holman,26,Hungary,Hungary,70
Diogo Filipe Rocha Costa,24,Portugal,Vitória Guimarães,70
Oliver Hüsing,26,Germany,1. FC Heidenheim 1846,70
Aytaç Kara,26,Turkey,Kasimpaşa SK,70
Mamadou Sylla Diallo,25,Senegal,KAA Gent,70
Pol Llonch Puyaltó,26,Spain,Willem II,70
Bruno Pittón,26,Argentina,San Lorenzo de Almagro,70
Steve Breitkreuz,27,Germany,FC Erzgebirge Aue,70
Francesco Deli,24,Italy,US Cremonese,70
Bruno Felipe Souza Da Silva,25,Brazil,Olympiacos CFP,70
Davit Khotcholava,26,Georgia,Shakhtar Donetsk,70
Haris Duljević,25,Bosnia Herzegovina,Nîmes Olympique,70
Bilel Aouacheria,25,France,Moreirense FC,70
Andrey Estupiñán,24,Colombia,Deportivo Pasto,70
James Lawrence,26,Wales,Wales,70
Abderrahmane Meziane,25,Algeria,Al Ain FC,70
Miloš Deletić,25,Serbia,AEK Athens,70
Giorgos Athanasiadis,26,Greece,AEK Athens,70
Connor Wickham,26,England,Crystal Palace,70
Filip Kurto,28,Poland,Western United FC,70
Bjørn Paulsen,27,Denmark,FC Ingolstadt 04,70
Victor Ulloa,27,Mexico,FC Cincinnati,70
Simon Thern,26,Sweden,IFK Norrköping,70
Abdón Prats Bastidas,26,Spain,RCD Mallorca,70
양한빈 梁韩彬,27,Korea Republic,FC Seoul,70
Richard Windbichler,28,Austria,Melbourne City FC,70
Maxime Dupé,26,France,Clermont Foot 63,70
Brian Behrendt,27,Germany,DSC Arminia Bielefeld,70
José Carlos Van Rankin Galland,26,Mexico,Guadalajara,70
Mustafa Saymak,26,Netherlands,Çaykur Rizespor,70
Esteban Ariel Saveljich,28,Montenegro,Rayo Vallecano,70
Jackson Irvine,26,Australia,Hull City,70
Carlos Cisneros,25,Mexico,Guadalajara,70
José Yordy Reyna Serna,25,Peru,Vancouver Whitecaps FC,70
Jeppe Andersen,26,Denmark,Hammarby IF,70
Nehuén Mario Paz,27,Argentina,Bologna,70
Geisson Perea,27,Colombia,Deportivo Pasto,70
Ofir Marciano,29,Israel,Hibernian,70
Philipp Schobesberger,25,Austria,SK Rapid Wien,70
Luis Jesús Rioja González,25,Spain,Deportivo Alavés,70
Chey Dunkley,27,England,Wigan Athletic,70
Rico Strieder,26,Germany,FC Utrecht,70
Youssoufou Niakaté,26,France,Al Wehda,70
Lucas Fernandes,25,Brazil,Hokkaido Consadole Sapporo,70
Alberto Paleari,26,Italy,Cittadella,70
杉本 健勇,26,Japan,Urawa Red Diamonds,70
Giannis Anestis,28,Greece,IFK Göteborg,70
Matija Ljujić,25,Serbia,Os Belenenses,70
Josip Vuković,27,Croatia,Clube Sport Marítimo,70
Oleksiy Shevchenko,27,Ukraine,Shakhtar Donetsk,70
Felix Kroos,28,Germany,1. FC Union Berlin,70
Roderick J. Gonçalves Miranda,28,Portugal,Wolverhampton Wanderers,70
Benjamin Jeannot,27,France,Dijon FCO,70
Necip Uysal,28,Turkey,Beşiktaş JK,70
Renato Kelić,28,Croatia,Universitatea Craiova,70
Atila Turan,27,Turkey,Kayserispor,70
Idriss Saadi,27,Algeria,KSV Cercle Brugge,70
Andrea Seculin,28,Italy,Chievo Verona,70
Sam Morsy,27,Egypt,Wigan Athletic,70
Sergio Ezequiel Araújo,27,Argentina,UD Las Palmas,70
Grant Hanley,27,Scotland,Norwich City,70
Jonathan Mensah,28,Ghana,Columbus Crew SC,70
Dennis Appiah,27,France,FC Nantes,70
Hiram Ricardo Mier Alanis,29,Mexico,Guadalajara,70
Kamil Drygas,27,Poland,Pogoń Szczecin,70
Léo Lacroix,27,Switzerland,AS Saint-Étienne,70
Lorenzo Leroy Ebecilio,27,Netherlands,Júbilo Iwata,70
Terry Antonis,25,Australia,Suwon Samsung Bluewings,70
Fredrik Haugen,27,Norway,SK Brann,70
Carl Jenkinson,27,England,Nottingham Forest,70
Luca Tremolada,27,Italy,Brescia,70
김영권 金英权,29,Korea Republic,Gamba Osaka,70
Bruno Martella,26,Italy,Brescia,70
Yacouba Sylla,28,Mali,CFR Cluj,70
Navarone Foor,27,Netherlands,Vitesse,70
Cristian Battocchio,27,Italy,Stade Brestois 29,70
Eirik  Ulland Andersen,26,Norway,Molde FK,70
Lawrence  Thomas,27,Australia,Melbourne Victory,70
Sonny Bradley,27,England,Luton Town,70
Maximilian Sax,26,Austria,FK Austria Wien,70
Darren Keet,29,South Africa,South Africa,70
Yannick Stark,28,Germany,SV Darmstadt 98,70
Loret Sadiku,27,Kosovo,Kasimpaşa SK,70
Branimir Hrgota,26,Sweden,SpVgg Greuther Fürth,70
Riccardo Improta,25,Italy,Benevento,70
Héctor Andrés Quiñónes Cortés,27,Colombia,América de Cali,70
Andrew Farrell,27,United States,New England Revolution,70
Jonathan Osorio,27,Canada,Toronto FC,70
Stephen O'Donnell,27,Scotland,Kilmarnock,70
Aldo Rocha,26,Mexico,Monarcas Morelia,70
Julián Alveiro Quiñónes García,29,Colombia,Deportes Tolima,70
Matías Cristóbal Navarrete Fuentes,27,Chile,Unión La Calera,70
Óscar Benítez,26,Argentina,Atlético de San Luis,70
Andrew Hughes,27,Wales,Preston North End,70
Diego Rodríguez,30,Argentina,Central Córdoba,70
Fabricio Fontanini,29,Argentina,Newell's Old Boys,70
Scott Hogan,27,Republic of Ireland,Stoke City,70
Marcos Mauro López,28,Argentina,Cádiz CF,70
Fabrício Santos de Jesus,27,Brazil,Clube Sport Marítimo,70
Isaac Carcelén Valencia,26,Spain,Cádiz CF,70
Ernesto Torregrossa,27,Italy,Brescia,70
Steven Birnbaum,28,United States,DC United,70
Rafał Kurzawa,26,Poland,Amiens SC,70
Cristian Buonaiuto,26,Italy,Perugia,70
Paul Viorel Anton,28,Romania,Romania,70
Cristian Gabriel Esparza,26,Argentina,Club Atlético Colón,70
Ignacio Rivero,27,Uruguay,Club Tijuana,70
Vasile Mogoș,26,Romania,US Cremonese,70
Charles Traoré,27,Mali,FC Nantes,70
橋本 拳人,25,Japan,FC Tokyo,70
車屋 紳太郎,27,Japan,Kawasaki Frontale,70
Yannick Gomis,27,Senegal,Racing Club de Lens,70
Romario Benzar,27,Romania,Lecce,70
Jovan Stojanović,27,Serbia,KV Kortrijk,70
Cyril Mandouki,27,France,Paris FC,70
Fernando Torrent,27,Argentina,Arsenal de Sarandí,70
Fabio Pereyra,29,Argentina,Arsenal de Sarandí,70
Zivko Zivkovic,30,Serbia,PAOK,70
Ángel Morenzo,27,Ecuador,Ecuador,70
Luis Conderia,26,Ecuador,Ecuador,70
Carlos Lendezo,25,Ecuador,Ecuador,70
Ruben Miguel  Marques dos Santos Fernandes,33,Portugal,Gil Vicente FC,70
Kyle Beckerman,37,United States,Real Salt Lake,70
Alexander Farnerud,35,Sweden,Helsingborgs IF,70
Chris Brunt,34,Northern Ireland,West Bromwich Albion,70
Wayne Routledge,34,England,Swansea City,70
Jaime Andrés Valdés Zapata,38,Chile,Colo-Colo,70
Gianluca Pegolo,38,Italy,Sassuolo,70
Reto Ziegler,33,Switzerland,FC Dallas,70
Gareth McAuley,39,Northern Ireland,Northern Ireland,70
Juan Francisco Martínez Modesto,39,Spain,Elche CF,70
Michael  Dawson,35,England,Nottingham Forest,70
Hugo Armando Campagnaro,39,Argentina,Pescara,70
Özgür Çek,28,Turkey,Kasimpaşa SK,70
Hakan Arıkan,36,Turkey,Kayserispor,70
Umut Bulut,36,Turkey,Kayserispor,70
Gabriel Sebastian Tamaş,35,Romania,Astra Giurgiu,70
Alexis Ruano Delgado,33,Spain,Racing Santander,70
Daniele Gastaldello,36,Italy,Brescia,70
Davide Moscardelli,39,Italy,Pisa,70
Yalçın Ayhan,37,Turkey,MKE Ankaragücü,70
Tolgahan Acar,33,Turkey,Denizlispor,70
Albert Dorca Masó,36,Spain,AD Alcorcón,70
Rubén Iván Martínez Andrade,35,Spain,CA Osasuna,70
Paweł Kieszek,35,Poland,Rio Ave FC,70
Emanuele Calaiò,37,Italy,US Salernitana 1919,70
Wes Hoolahan,37,Republic of Ireland,Newcastle Jets,70
Bradley Johnson,32,England,Blackburn Rovers,70
Leon Clarke,34,England,Sheffield United,70
Bartosz Białkowski,31,Poland,Millwall,70
Pedro López Muñoz,35,Spain,SD Huesca,70
郑智,38,China PR,Guangzhou Evergrande Taobao FC,70
郜林,33,China PR,Guangzhou Evergrande Taobao FC,70
Craig Bryson,32,Scotland,Aberdeen,70
Víctor Manuel Casadesús Castaño,34,Spain,AD Alcorcón,70
Alexander Baumjohann,32,Germany,Sydney FC,70
John Ruddy,32,England,Wolverhampton Wanderers,70
Jonny Hayes,31,Republic of Ireland,Celtic,70
Grant Leadbitter,33,England,Sunderland,70
